Period,Value
Jul-2016, 7412
Aug-2016, 7855
Sep-2016, 7415
Oct-2016, 7057
Nov-2016, 9201
Dec-2016, 11430
Jan-2017, 7034
Feb-2017, 6718
Mar-2017, 7495
Apr-2017, 6673
May-2017, 7156
Jun-2017, 7227
Jul-2017, 7073
Aug-2017, 7469
Sep-2017, 7294
Oct-2017, 7168
Nov-2017, 9704
Dec-2017, 11413
Jan-2018, 7287
Feb-2018, 6970
Mar-2018, 7577
Apr-2018, 6833
May-2018, 7399
Jun-2018, 7505
Jul-2018, 7386
Aug-2018, 7871
Sep-2018, 7292
Oct-2018, 7355
Nov-2018, 9593
Dec-2018, 11037
Jan-2019, 7197
Feb-2019, 6599
Mar-2019, 7229
Apr-2019, 6532
May-2019, 7161
Jun-2019, 7026
Jul-2019, 7213
Aug-2019, 7556
Sep-2019, 7152
Oct-2019, 7116
Nov-2019, 9261
Dec-2019, 10892
Jan-2020, 7063
Feb-2020, 6659
Mar-2020, 5778
Apr-2020, 3013
May-2020, 3914
Jun-2020, 5583
Jul-2020, 6478
Aug-2020, 6765
Sep-2020, 6383
Oct-2020, 6781
Nov-2020, 8194
Dec-2020, 9367
Jan-2021, 6843
Feb-2021, 6121
Mar-2021, 7875
Apr-2021, 7346
May-2021, 7501
Jun-2021, 7891
Jul-2021, 7920
Aug-2021, 7854
Sep-2021, 7548
Oct-2021, 7896
Nov-2021, 8940
Dec-2021, 10446
Jan-2022, 6718
Feb-2022, 6426
Mar-2022, 7627
Apr-2022, 7080
May-2022, 7072
Jun-2022, 7000
Jul-2022, 7015
Aug-2022, 7397
Sep-2022, 6878
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
